contest,winner,winningParty,winningVotes,loser,losingParty,losingVotes
"State Assembly Member District 78","Chris Ward",D,"123,755","Sarah Davis",D,"96,486"
"State Assembly Member District 79","Shirley N. Weber",D,"147,994","John Moore",R,"78,367"
"State Assembly Member District 80","Lorena Gonzalez",D,"121,661","John J. Vogel",R,"48,390"
"United States Representative District 12","Nancy Pelosi",D,"281,776","Shahid Buttar",D,"81,174"
"United States Representative District 14","Jackie Speier",D,"278,300","Ran S. Petel",R,"72,705"
"State Senate District 11","Scott Wiener",D,"254,635","Jackie Fielder",D,"191,065"
"State Assembly Member District 17","David Chiu",D,"190,731",Starchild,L,"23,834"
"State Assembly Member District 19","Phil Ting",D,"175,858","John P. McDonnell",R,"50,846"
"United States Representative District 10","Josh Harder",D,"166,865","Ted Howze",R,"135,629"
"State Assembly Member District 12","Heath Flora",R,"131,625","Paul Akinjo",D,"84,373"
"State Assembly Member District 13","Carlos Villapudua",D,"83,746","Kathy Miller",D,"78,609"
"United States Representative District 24","Salud Carbajal",D,"212,564","Andy Caldwell",R,"149,781"
"State Assembly Member District 35","Jordan Cunningham",R,"126,579","Dawn Addis",D,"103,206"
"State Assembly Member District 37","Steve Bennett",D,"166,015","Charles W. Cole",R,"79,661"
"United States Representative District 18","Anna G. Eshoo",D,"217,388","Rishi Kumar",D,"126,751"
"State Senate District 13","Josh Becker",D,"348,005","Alexander Glew",R,"113,315"
"State Assembly Member District 22","Kevin Mullin",D,"182,419","Mark Gilham",R,"59,531"
"State Assembly Member District 24","Marc Berman",D,"158,250","Peter Ohtaki",R,"57,216"
"State Senate District 19","S. Monique Limon",D,"272,442","Gary J. Michaels",R,"150,089"
"United States Representative District 19","Zoe Lofgren",D,"224,385","Justin James Aguilera",R,"88,642"
"State Senate District 15","Dave Cortese",D,"212,207","Ann M. Ravel",D,"175,203"
"State Assembly Member District 27","Ash Kalra",D,"127,772","G. Burt Lancaster",R,"48,112"
"State Assembly Member District 28","Evan Low",D,"166,733","Carlos Rafael Cruz",R,"65,976"
